"識別碼","店家名稱","城市","行政區","地址","電話","營業時間","核對狀態","來源網址","來源更新時間","擷取時間","網頁核對時間"
"Restaurant_376430000A_001830","老阿伯現滷豆干","桃園市","大溪區","桃園市大溪區中正路37號","(03)3883422","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:02:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001831","大溪全家福海鮮餐廳","桃園市","大溪區","桃園市大溪區瑞安路一段308號","(03)3076008","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:02:46+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001837","龍情花生糖(平鎮延平店)","桃園市","平鎮區","桃園市平鎮區延平路一段57號","(03)4272955","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-08T17:04:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001838","龍情花生糖(龍潭交流道旗艦店)","桃園市","龍潭區","桃園市龍潭區大昌路二段210號","(03)4895511","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-08T17:03:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001839","連城原木藝術館","桃園市","大溪區","桃園市大溪區康莊路五段689號","(03)4711007","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-10-31T17:18:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001840","龍情花生糖(中壢環北店)","桃園市","中壢區","桃園市中壢區延平路124號","(03)4618534","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-08T17:03:10+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001841","廖心蘭豆干店","桃園市","大溪區","桃園市大溪區和平路41號","(03)3874205","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:03:34+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001847","黑松飲料博物館","桃園市","中壢區","桃園市中壢區中園路178號","(03)4523101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-03T13:40:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001848","金車咖啡文教館","桃園市","中壢區","桃園市中壢區榮民南路412號","(03)4651121","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-03T13:38:33+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001849","CAFE!N x DICKIES 聯名咖啡觀光工廠 (源友咖啡文化園區)","桃園市","平鎮區","桃園市平鎮區工業五路8號","(02)27529476","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T16:47:58+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001850","福源茶廠","桃園市","龍潭區","桃園市龍潭區竹龍路590巷56號","(03)4792533","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-03T13:36:50+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001851","中台環境資源教育中心","桃園市","觀音區","桃園市觀音區環科路328號","(03)4730068","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-03T13:36:00+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001852","華泰名品城","桃園市","中壢區","桃園市中壢區春德路189號","(03)2738666","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:49:08+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001853","台茂購物中心","桃園市","蘆竹區","桃園市蘆竹區南崁路一段112號","(03)3111234","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T17:08:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001856","春稻企業股份有限公司","桃園市","中壢區","桃園市中壢區中華路二段73號","(03)4628888","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T16:50:04+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001857","上家下屋手工皂(達能工作室)","桃園市","龍潭區","桃園市龍潭區高原里高原路160巷15號","(03)4718191","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:18:05+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001858","台灣京瓷-千塘窯","桃園市","龍潭區","桃園市龍潭區武中路528-1號","(03)4798888","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:18:51+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001859","幸運創布 CharmPoint-菲兒麗貝創布工作坊","桃園市","桃園區","桃園市桃園區大興里春日路658巷18號9樓","(03)3588357","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:46:36+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001860","向記食品有限公司","桃園市","蘆竹區","桃園市蘆竹區榮安路6巷98號3樓","(03)4562400","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:05:16+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001861","双霖茶莊","桃園市","楊梅區","桃園市楊梅區甡甡路219巷30號","0912448506","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:39:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001862","愛地球木工坊","桃園市","平鎮區","桃園市平鎮區新光路3段188號","0916790257","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:50:08+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001866","豆之家食品科技股份有限公司","桃園市","蘆竹區","桃園市蘆竹區南崁路二段226巷31號","(03)3216699","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-04-14T17:30:10+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001874","大窯大擺義大利手工窯烤披薩","桃園市","桃園區","桃園市桃園區南通路81號","(03)3150633","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:06:11+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001876","微笑的光 咖啡館","桃園市","中壢區","桃園市中壢區南園二路388號","(03)4353399","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:07:43+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001880","安賀斯café","桃園市","楊梅區","桃園市楊梅區新農街282號","(03)4881653","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:08:57+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001881","大麻鍋物大有店","桃園市","桃園區","桃園市桃園區大有路575號","(03)3466639","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:09:19+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001882","華川宴麻辣鴛鴦火鍋(蘆竹店)","桃園市","蘆竹區","桃園市蘆竹區中正北路635號","(03)2222901","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:09:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001887","晶宴會館(桃園館)","桃園市","桃園區","桃園市桃園區南平路166號","(03)3553555","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:11:15+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001888","傳香美食館","桃園市","八德區","桃園市八德區義勇街92號","(03)3770626","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:11:48+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001905","八德市場-雞世家","桃園市","八德區","桃園市八德區建國路45號(攤號:18)","0921917585","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-11T15:55:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001906","大成市場-香圓食品","桃園市","楊梅區","桃園市楊梅區楊江里大成路36號(攤號:28)","(03)4786566","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-11T17:51:01+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001907","龍潭市場-大陸涼麵","桃園市","龍潭區","桃園市龍潭區龍興路80-100號 (攤號:B43)","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-11T16:03:01+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001910","大園市場-萬佳香肉鬆","桃園市","大園區","桃園市大園區忠孝三街19號(攤號:39)","(03)3864008","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-10T15:05:38+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001911","中壢觀光夜市-混蛋爆蝦","桃園市","中壢區","桃園市中壢區新明路 (攤號:295C)","0917635345","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-07-20T17:54:11+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001912","中壢觀光夜市-貴子油飯","桃園市","中壢區","桃園市中壢區新明路(攤號:015A)","0916936858","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T17:07:17+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001913","桃園觀光夜市-烤馬鈴薯","桃園市","桃園區","桃園市桃園區北埔路65號前(攤號:39)","0931345045","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-07-20T17:54:53+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001915","中壢觀光夜市-瘋壽司","桃園市","中壢區","桃園市中壢區新明路 (攤號:350A)","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-07-20T17:55:33+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001916","中壢觀光夜市-祥伯東山鴨頭","桃園市","中壢區","桃園市中壢區新明路 (A001)","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-08-21T17:16:36+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001917","中平素食之家","桃園市","中壢區","桃園市中壢區新興路210號","(03)4284290","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:14:44+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001920","航空港旋轉餐廳","桃園市","大園區","桃園市大園區漁港路353巷176號5樓","(03)3933000","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:15:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001922","正福伯活海鮮","桃園市","大園區","桃園市大園區沙崙里漁港路395巷32弄1號","(03)3836101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-10T15:20:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001923","愛琴海海岸咖啡廳","桃園市","新屋區","桃園市新屋區中山西路三段1165號 (永安觀光漁市二樓)","(03)4865179","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:15:57+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001925","綠色隧道海鮮餐坊","桃園市","新屋區","桃園市新屋區蚵間里56號","0988140661","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:16:21+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001926","山本海產店","桃園市","大園區","桃園市大園區沙崙里港口路7-7號2樓10號攤位(竹圍漁港觀光魚市熟食區)","(03)3935559","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-10T15:18:24+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001927","蘭陽小吃","桃園市","大園區","桃園市大園區沙崙里漁港路451巷25號(竹圍漁港觀光漁市熟食區)","(03)3832363","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-10T15:23:56+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001928","尚品雅宴農莊","桃園市","新屋區","桃園市新屋區中山西路二段915號","(03)4861887","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-08T18:17:00+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001932","花枝忠活海產店","桃園市","大園區","桃園市大園區沙崙里港口路7-7號2樓20號攤位(竹圍漁港觀光魚市熟食區)","(03)3838665","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:23:43+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001933","Q幼鮮生猛活魚海產","桃園市","大園區","桃園市大園區中正東路202號","(03)3867308","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:24:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001934","永安61庭園咖啡","桃園市","新屋區","桃園市新屋區濱海路永安段355巷10號","0976546861","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:31:06+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001936","姊妹活海鮮","桃園市","新屋區","桃園市新屋區中山西路三段1165號A4、A9(永安漁港觀光漁市熟食區)","0955053082","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:31:30+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001937","大田蓮花餐廳","桃園市","觀音區","桃園市觀音區大崛里大湖路二段193號","(03)4988567","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:32:51+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001938","原味海鮮(中壢原味)","桃園市","新屋區","桃園市新屋區中山西路三段1165號A5、A10(永安漁港觀光漁市熟食區)","0936283458","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:36:11+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001940","品味快炒小吃店","桃園市","新屋區","桃園市新屋區中正一街19巷40號","0919945370","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:44:36+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001941","天水海鮮館(原北海岸)","桃園市","新屋區","桃園市新屋區中山西路三段1165號A13、A18(永安漁港觀光漁市熟食區)","0919972932","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-10T14:46:44+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001942","永安港50年老店","桃園市","新屋區","桃園市新屋區中山西路三段1165號A15、A20(永安漁港觀光漁市熟食區)","(03)4864708","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:45:01+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001943","卡托米利坊","桃園市","新屋區","桃園市新屋區東福路三段1038巷48號","(03)4768668","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:49:32+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001945","西荷食堂","桃園市","觀音區","桃園市觀音區大富路221號","(03)4980753","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:50:01+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001946","游記海產","桃園市","大園區","桃園市大園區港口路7之7號2樓12號攤位（竹圍漁港觀光漁市二樓熟食區12攤位）","0932274596","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:50:37+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001947","陳媽媽月光餅","桃園市","大溪區","桃園市大溪區和平路87號","(03)3882451","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T09:51:56+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001948","源古本舖","桃園市","大溪區","桃園市大溪區和平路48號","0922335581","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-04-30T16:39:18+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001949","下街四十番地工房","桃園市","大溪區","桃園市大溪區和平路88號","(03)3882518","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-10-31T15:35:46+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001951","五色鳥故事館","桃園市","大溪區","桃園市大溪區東二路31號","(03)3887227","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-04-30T16:42:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001952","新南12文創實驗商行","桃園市","大溪區","桃園市大溪區中山路12號","(03)3884466","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-10-31T15:38:19+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001953","桃園市大溪文化協會/草店尾小客廳","桃園市","大溪區","桃園市大溪區后尾巷22號","(03)3880938","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-11T17:05:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001956","蘭室茶坊","桃園市","大溪區","桃園市大溪區中山路13號","(03)3873711","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T10:07:42+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001957","姚茶館私房料理","桃園市","大溪區","桃園市大溪區和平路91號","(03)3882567","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T11:01:47+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001964","Global Mall桃園A8","桃園市","龜山區","桃園市龜山區復興一路8號","(03)3287599","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T11:03:48+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001965","七彩雲南(忠貞店)","桃園市","平鎮區","桃園市平鎮區中山路124號","(03)4652806","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T11:04:11+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001966","光復雲仙小館","桃園市","平鎮區","桃園市平鎮區中山路168號","(03)4658245","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:26:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001967","阿美金三角點心","桃園市","平鎮區","桃園市平鎮區中山路134號","(03)4560015","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:27:27+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001968","阿靜忠貞米干","桃園市","中壢區","桃園市中壢區中正五路210號","(03)4564569","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:27:46+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001969","雲南人家風味餐館","桃園市","平鎮區","桃園市平鎮區龍江路138號","(03)4369966","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:28:02+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001971","雲南小館","桃園市","中壢區","桃園市中壢區龍平路181號","(03)4566959","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:28:47+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001973","鄉味米干","桃園市","平鎮區","桃園市平鎮區中山路112號","(03)4368608","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:29:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001974","大漢饌雲南拉麵館","桃園市","中壢區","桃園市中壢區榮民南路890號","(03)4383285","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T12:29:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001982","福容大飯店 桃園機場捷運 A8(麗。会所)","桃園市","龜山區","桃園市龜山區復興一路2號6F","(03)3285688","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-05-01T17:27:09+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001990","葡萄王健康活力能量館","桃園市","平鎮區","桃園市平鎮區金陵路2段402號","(03)2712121","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-05-01T17:27:50+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002061","老四川巴蜀麻辣燙-桃園店","桃園市","桃園區","桃園市桃園區大興西路二段34號","(03)3161136","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T15:24:45+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002794","匠骰子牛肉麵 南崁本店","桃園市","蘆竹區","桃園市蘆竹區桃園街95號","(03)3521995","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:10:51+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002813","翻轉甜點","桃園市","桃園區","桃園市桃園區正光路71巷6號","0986203366","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:21:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002814","德門居農場","桃園市","蘆竹區","桃園市蘆竹區坑子里山林路二段612巷120弄1號","0937115677","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-10-29T15:33:52+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002822","有樹手作甜品","桃園市","中壢區","桃園市中壢區忠孝路140號","(03)4635799","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:26:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002826","進福港式燒臘店","桃園市","桃園區","桃園市桃園區龍安街118號","(03)3785178","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:29:46+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002827","森料理","桃園市","桃園區","桃園市桃園區經國路336巷86號","(03)3169988","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:31:29+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002828","星上星港式飲茶","桃園市","桃園區","桃園市桃園區經國路288號","(03)3568777","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:32:05+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002830","品香殿潮州砂鍋粥","桃園市","桃園區","桃園市桃園區南平路546號1樓","(03)3166820","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:33:29+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002835","PINEDE 彼內朵南崁店","桃園市","蘆竹區","桃園市蘆竹區南平街62號一樓","(03)3119688","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T16:42:00+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002838","定迎有限公司","桃園市","桃園區","桃園市桃園區龍安街177號3樓","(03)3709889","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-05-13T17:20:47+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002839","TINA廚房大溪店","桃園市","大溪區","桃園市大溪區瑞安路一段175巷55號","(03)3074818","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-03-05T17:19:44+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_002840","桃園高爾夫俱樂部-悅華大酒店","桃園市","龍潭區","桃園市龍潭區悅華路100號","(03)4803388","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-10-29T15:36:17+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_003025","解惑火鍋店 （大麻鍋物藝文店）","桃園市","桃園區","桃園市桃園區南平路400號","(03)3581536","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-10T11:18:44+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_003028","游記百年油飯","桃園市","大溪區","桃園市大溪區民權路17號","(03)3881681","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:02:10+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_395000000A_001052","和興冰果部","臺南市","後壁區","臺南市後壁區菁寮里菁寮46號","(06)6621877","週二~週日09:00~17:00，週一休息","已核對欄位","https://data.gov.tw/dataset/7779 | https://www.twtainan.net/zh-tw/shop/consume/1052/","交通部觀光署: 2023-03-28T10:27:40+08:00 | 臺南旅遊網: 2023-03-28T10:27:40.467","交通部觀光署: 2026-09-12T21:46:46+00:00 | 臺南旅遊網: 2026-09-12T21:25:04+00:00","2026-09-12T21:25:04+00:00"
"Restaurant_395000000A_001053","曾家豬頭飯｜ 炎師","臺南市","新營區","臺南市新營區新進路二段87號","(06)6333613","週一~週日07:00–13:00，週二休息","已核對欄位","https://data.gov.tw/dataset/7779 | https://www.twtainan.net/zh-tw/shop/consume/1053/","交通部觀光署: 2022-12-05T15:47:03+08:00 | 臺南旅遊網: 2022-12-05T15:47:03.573","交通部觀光署: 2026-09-12T21:46:46+00:00 | 臺南旅遊網: 2026-09-12T21:25:05+00:00","2026-09-12T21:25:05+00:00"
"Restaurant_395000000A_001054","籃記東山鴨頭","臺南市","東山區","臺南市東山區中興路11號","(06)6802856","週一~週日13:00-18:00","已核對欄位","https://data.gov.tw/dataset/7779 | https://www.twtainan.net/zh-tw/shop/consume/1054/","交通部觀光署: 2022-02-02T12:01:49+08:00 | 臺南旅遊網: 2022-02-02T12:01:49.793","交通部觀光署: 2026-09-12T21:46:46+00:00 | 臺南旅遊網: 2026-09-12T21:25:06+00:00","2026-09-12T21:25:06+00:00"
